variant,benchmark,input_value,input_metric,phase,time_lo_s,time_mid_s,time_hi_s,units
32-reg,collatz,17,n,preprocess,2.535000,2.600000,2.664000,s
32-reg,collatz,17,n,prove,0.662000,0.668000,0.687000,s
32-reg,collatz,17,n,verify,0.053000,0.054000,0.057000,s
32-reg,collatz,18,n,decode,0.216000,0.222000,0.237000,s
32-reg,collatz,18,n,trace,0.073000,0.074000,0.075000,s
32-reg,collatz,18,n,preprocess,2.517000,2.567000,2.714000,s
32-reg,collatz,18,n,prove,0.698000,0.702000,0.710000,s
32-reg,collatz,18,n,verify,0.053000,0.055000,0.057000,s
32-reg,collatz,19,n,decode,0.218000,0.225000,0.234000,s
32-reg,collatz,19,n,trace,0.073000,0.074000,0.077000,s
32-reg,collatz,19,n,preprocess,2.559000,2.606000,2.661000,s
32-reg,collatz,19,n,prove,0.704000,0.710000,0.714000,s
32-reg,collatz,19,n,verify,0.054000,0.056000,0.058000,s
32-reg,collatz,20,n,decode,0.217000,0.222000,0.224000,s
32-reg,collatz,20,n,trace,0.074000,0.075000,0.076000,s
32-reg,collatz,20,n,preprocess,2.512000,2.589000,2.740000,s
32-reg,collatz,20,n,prove,0.632000,0.639000,0.642000,s
32-reg,collatz,20,n,verify,0.052000,0.054000,0.057000,s
32-reg,collatz,21,n,decode,0.219000,0.223000,0.225000,s
32-reg,collatz,21,n,trace,0.074000,0.075000,0.076000,s
32-reg,collatz,21,n,preprocess,2.552000,2.600000,2.730000,s
32-reg,collatz,21,n,prove,0.635000,0.640000,0.649000,s
32-reg,collatz,21,n,verify,0.053000,0.055000,0.057000,s
32-reg,collatz,22,n,decode,0.208000,0.220000,0.224000,s
32-reg,collatz,22,n,trace,0.072000,0.074000,0.076000,s
32-reg,collatz,22,n,preprocess,2.352000,2.519000,2.681000,s
32-reg,collatz,22,n,prove,0.661000,0.668000,0.678000,s
32-reg,collatz,22,n,verify,0.053000,0.054000,0.056000,s
32-reg,collatz,23,n,decode,0.195000,0.198000,0.207000,s
32-reg,collatz,23,n,trace,0.069000,0.071000,0.072000,s
32-reg,collatz,23,n,preprocess,2.164000,2.177000,2.361000,s
32-reg,collatz,23,n,prove,0.614000,0.616000,0.666000,s
32-reg,collatz,23,n,verify,0.050000,0.051000,0.054000,s
32-reg,collatz,24,n,decode,0.195000,0.197000,0.209000,s
32-reg,collatz,24,n,trace,0.069000,0.070000,0.071000,s
32-reg,collatz,24,n,preprocess,2.146000,2.191000,2.286000,s
32-reg,collatz,24,n,prove,0.608000,0.613000,0.616000,s
32-reg,collatz,24,n,verify,0.049000,0.050000,0.052000,s
32-reg,collatz,25,n,decode,0.193000,0.196000,0.199000,s
32-reg,collatz,25,n,trace,0.069000,0.069000,0.071000,s
32-reg,collatz,25,n,preprocess,2.164000,2.187000,2.303000,s
32-reg,collatz,25,n,prove,0.642000,0.647000,0.655000,s
32-reg,collatz,25,n,verify,0.049000,0.051000,0.052000,s
32-reg,collatz,26,n,decode,0.194000,0.197000,0.198000,s
32-reg,collatz,26,n,trace,0.069000,0.070000,0.070000,s
32-reg,collatz,26,n,preprocess,2.155000,2.181000,2.237000,s
32-reg,collatz,26,n,prove,0.609000,0.611000,0.617000,s
32-reg,collatz,26,n,verify,0.049000,0.051000,0.052000,s
32-reg,collatz,27,n,decode,0.194000,0.195000,0.197000,s
32-reg,collatz,27,n,trace,0.070000,0.071000,0.073000,s
32-reg,collatz,27,n,preprocess,2.157000,2.186000,2.244000,s
32-reg,collatz,27,n,prove,0.855000,0.868000,0.891000,s
32-reg,collatz,27,n,verify,0.051000,0.052000,0.053000,s
32-reg,collatz,28,n,decode,0.195000,0.197000,0.199000,s
32-reg,collatz,28,n,trace,0.069000,0.069000,0.071000,s
32-reg,collatz,28,n,preprocess,2.156000,2.215000,2.296000,s
32-reg,collatz,28,n,prove,0.614000,0.617000,0.621000,s
32-reg,collatz,28,n,verify,0.050000,0.051000,0.051000,s
32-reg,collatz,29,n,decode,0.194000,0.195000,0.197000,s
32-reg,collatz,29,n,trace,0.068000,0.069000,0.071000,s
32-reg,collatz,29,n,preprocess,2.158000,2.183000,2.306000,s
32-reg,collatz,29,n,prove,0.611000,0.616000,0.618000,s
32-reg,collatz,29,n,verify,0.050000,0.051000,0.052000,s
32-reg,collatz,30,n,decode,0.195000,0.196000,0.207000,s
32-reg,collatz,30,n,trace,0.068000,0.069000,0.070000,s
32-reg,collatz,30,n,preprocess,2.156000,2.171000,2.194000,s
32-reg,collatz,30,n,prove,0.610000,0.616000,0.620000,s
32-reg,collatz,30,n,verify,0.050000,0.051000,0.052000,s
32-reg,collatz,31,n,decode,0.193000,0.194000,0.205000,s
32-reg,collatz,31,n,trace,0.070000,0.071000,0.072000,s
32-reg,collatz,31,n,preprocess,2.157000,2.174000,2.288000,s
32-reg,collatz,31,n,prove,0.857000,0.878000,0.887000,s
32-reg,collatz,31,n,verify,0.050000,0.052000,0.054000,s
32-reg,collatz,32,n,decode,0.195000,0.197000,0.198000,s
32-reg,collatz,32,n,trace,0.068000,0.068000,0.070000,s
32-reg,collatz,32,n,preprocess,2.152000,2.165000,2.254000,s
32-reg,collatz,32,n,prove,0.579000,0.584000,0.588000,s
