variant,benchmark,input_value,input_metric,group,name,time_lo_s,time_mid_s,time_hi_s,units
32-reg,collatz,4,n,preprocess,setup,2.569000,2.623000,2.696000,s
32-reg,collatz,4,n,prove,preamble,0.000000,0.000000,0.000000,s
32-reg,collatz,4,n,prove,il_wit,0.003000,0.004000,0.004000,s
32-reg,collatz,4,n,prove,rwm_wit,0.001000,0.001000,0.002000,s
32-reg,collatz,4,n,prove,wit_join,0.000000,0.000000,0.000000,s
32-reg,collatz,4,n,prove,r1cs_setup,0.004000,0.004000,0.004000,s
32-reg,collatz,4,n,prove,r1cs_polys,0.003000,0.003000,0.003000,s
32-reg,collatz,4,n,prove,r1cs_aux,0.001000,0.001000,0.002000,s
32-reg,collatz,4,n,prove,commit,0.014000,0.015000,0.015000,s
32-reg,collatz,4,n,prove,bytecode,0.010000,0.011000,0.011000,s
32-reg,collatz,4,n,prove,il,0.313000,0.316000,0.320000,s
32-reg,collatz,4,n,prove,rwm,0.060000,0.064000,0.066000,s
32-reg,collatz,4,n,prove,spartan,0.022000,0.023000,0.024000,s
32-reg,collatz,4,n,prove,openings,0.185000,0.186000,0.192000,s
32-reg,collatz,4,n,verify,bytecode,0.001000,0.002000,0.002000,s
32-reg,collatz,4,n,verify,instruction_lookups,0.013000,0.014000,0.014000,s
32-reg,collatz,4,n,verify,memory,0.009000,0.010000,0.010000,s
32-reg,collatz,5,n,preprocess,shapes,0.000000,0.000000,0.000000,s
32-reg,collatz,5,n,preprocess,il_pp,0.009000,0.009000,0.009000,s
32-reg,collatz,5,n,preprocess,rwm_pp,0.000000,0.000000,0.000000,s
32-reg,collatz,5,n,preprocess,bc_rows,0.000000,0.000000,0.000000,s
32-reg,collatz,5,n,preprocess,bc_pp,0.000000,0.000000,0.000000,s
32-reg,collatz,5,n,preprocess,setup,2.554000,2.615000,2.782000,s
32-reg,collatz,5,n,prove,preamble,0.000000,0.000000,0.000000,s
32-reg,collatz,5,n,prove,il_wit,0.003000,0.004000,0.005000,s
32-reg,collatz,5,n,prove,rwm_wit,0.001000,0.001000,0.001000,s
32-reg,collatz,5,n,prove,wit_join,0.000000,0.000000,0.000000,s
32-reg,collatz,5,n,prove,r1cs_setup,0.004000,0.004000,0.004000,s
32-reg,collatz,5,n,prove,r1cs_polys,0.003000,0.003000,0.003000,s
32-reg,collatz,5,n,prove,r1cs_aux,0.000000,0.001000,0.003000,s
32-reg,collatz,5,n,prove,commit,0.014000,0.015000,0.016000,s
32-reg,collatz,5,n,prove,bytecode,0.010000,0.010000,0.011000,s
32-reg,collatz,5,n,prove,il,0.315000,0.317000,0.321000,s
32-reg,collatz,5,n,prove,rwm,0.061000,0.063000,0.066000,s
32-reg,collatz,5,n,prove,spartan,0.024000,0.024000,0.025000,s
32-reg,collatz,5,n,prove,openings,0.185000,0.187000,0.192000,s
32-reg,collatz,5,n,verify,bytecode,0.001000,0.001000,0.002000,s
32-reg,collatz,5,n,verify,instruction_lookups,0.013000,0.014000,0.014000,s
