variant,benchmark,input_value,input_metric,component,size_lo_mb,size_mid_mb,size_hi_mb,units
32-reg,collatz,28,n,commitments,0.015000,0.015000,0.015000,MB
32-reg,collatz,28,n,proof,0.119000,0.119000,0.119000,MB
32-reg,collatz,28,n,total,0.134000,0.134000,0.134000,MB
32-reg,collatz,29,n,commitments,0.015000,0.015000,0.015000,MB
32-reg,collatz,29,n,proof,0.119000,0.119000,0.119000,MB
32-reg,collatz,29,n,total,0.134000,0.134000,0.134000,MB
32-reg,collatz,30,n,commitments,0.015000,0.015000,0.015000,MB
32-reg,collatz,30,n,proof,0.119000,0.119000,0.119000,MB
32-reg,collatz,30,n,total,0.134000,0.134000,0.134000,MB
32-reg,collatz,31,n,commitments,0.015000,0.015000,0.015000,MB
32-reg,collatz,31,n,proof,0.140000,0.140000,0.140000,MB
32-reg,collatz,31,n,total,0.154000,0.154000,0.154000,MB
32-reg,collatz,32,n,commitments,0.015000,0.015000,0.015000,MB
32-reg,collatz,32,n,proof,0.113000,0.113000,0.113000,MB
32-reg,collatz,32,n,total,0.128000,0.128000,0.128000,MB
32-reg,collatz,33,n,commitments,0.015000,0.015000,0.015000,MB
32-reg,collatz,33,n,proof,0.126000,0.126000,0.126000,MB
32-reg,collatz,33,n,total,0.140000,0.140000,0.140000,MB
32-reg,collatz,34,n,commitments,0.015000,0.015000,0.015000,MB
32-reg,collatz,34,n,proof,0.119000,0.119000,0.119000,MB
32-reg,collatz,34,n,total,0.134000,0.134000,0.134000,MB
32-reg,collatz,35,n,commitments,0.015000,0.015000,0.015000,MB
32-reg,collatz,35,n,proof,0.119000,0.119000,0.119000,MB
32-reg,collatz,35,n,total,0.134000,0.134000,0.134000,MB
32-reg,collatz,36,n,commitments,0.015000,0.015000,0.015000,MB
32-reg,collatz,36,n,proof,0.126000,0.126000,0.126000,MB
32-reg,collatz,36,n,total,0.140000,0.140000,0.140000,MB
32-reg,collatz,37,n,commitments,0.015000,0.015000,0.015000,MB
32-reg,collatz,37,n,proof,0.126000,0.126000,0.126000,MB
32-reg,collatz,37,n,total,0.140000,0.140000,0.140000,MB
32-reg,collatz,38,n,commitments,0.015000,0.015000,0.015000,MB
32-reg,collatz,38,n,proof,0.126000,0.126000,0.126000,MB
