collatz-guest,5,419,23,15,38,9.069212410501192
collatz-guest,10,456,23,15,38,8.333333333333332
collatz-guest,20,493,23,15,38,7.707910750507099
collatz-guest,40,530,23,15,38,7.169811320754717
collatz-guest,80,567,23,15,38,6.701940035273369
collatz-guest,160,666,23,16,39,5.8558558558558556
collatz-guest,320,703,23,16,39,5.547652916073969
collatz-guest,640,740,23,16,39,5.27027027027027
collatz-guest,1280,777,23,16,39,5.019305019305019
collatz-guest,2560,814,23,16,39,4.791154791154791
collatz-guest,5120,851,23,16,39,4.582843713278495
collatz-guest,10240,888,23,16,39,4.391891891891892
collatz-guest,20480,987,23,17,40,4.052684903748734
collatz-guest,40960,1024,23,17,40,3.90625
collatz-guest,81920,1061,23,17,40,3.7700282752120637
collatz-guest,163840,1098,23,17,40,3.642987249544627
collatz-guest,327680,1135,23,17,40,3.524229074889868
collatz-guest,500000,6523,26,18,44,0.6745362563237773
fibonacci-guest,5,102,6,3,9,8.823529411764707
fibonacci-guest,10,132,6,3,9,6.8181818181818175
fibonacci-guest,20,209,9,4,13,6.220095693779904
fibonacci-guest,40,363,15,6,21,5.785123966942149
fibonacci-guest,80,620,18,7,25,4.032258064516129
fibonacci-guest,160,1109,18,8,26,2.3444544634806133
fibonacci-guest,320,2052,15,7,22,1.0721247563352825
fibonacci-guest,640,3989,18,8,26,0.6517924291802457
fibonacci-guest,1280,7829,18,8,26,0.3320986077404522
fibonacci-guest,2560,15509,18,8,26,0.16764459346186086
fibonacci-guest,5120,30869,18,8,26,0.08422689429524766
fibonacci-guest,10240,61572,15,7,22,0.03573052686285974
fibonacci-guest,20480,123038,18,9,27,0.021944439929127587
fibonacci-guest,40960,245918,18,9,27,0.010979269512601761
fibonacci-guest,81920,491678,18,9,27,0.00549139884233177
fibonacci-guest,163840,983198,18,9,27,0.002746140655290186
fibonacci-guest,327680,1966238,18,9,27,0.0013731806627681898
fibonacci-guest,500000,3000158,18,9,27,0.0008999526024962685
muldiv-guest,5,158,17,15,32,20.253164556962027
muldiv-guest,10,158,17,15,32,20.253164556962027
muldiv-guest,20,158,17,15,32,20.253164556962027
muldiv-guest,40,158,17,15,32,20.253164556962027
muldiv-guest,80,158,17,15,32,20.253164556962027
muldiv-guest,160,208,20,19,39,18.75
muldiv-guest,320,208,20,19,39,18.75
muldiv-guest,640,208,20,19,39,18.75
muldiv-guest,1280,208,20,19,39,18.75
muldiv-guest,2560,208,20,19,39,18.75
muldiv-guest,5120,208,20,19,39,18.75
muldiv-guest,10240,208,20,19,39,18.75
muldiv-guest,20480,258,23,23,46,17.829457364341085
muldiv-guest,40960,258,23,23,46,17.829457364341085
muldiv-guest,81920,258,23,23,46,17.829457364341085
muldiv-guest,163840,241,20,22,42,17.42738589211618
muldiv-guest,327680,224,17,21,38,16.964285714285715
muldiv-guest,500000,241,20,22,42,17.427385892116185
sha2-chain-guest,5,37430,5932,6008,11940,31.899545818861874
sha2-chain-guest,10,73600,11677,11748,23425,31.827445652173914
sha2-chain-guest,20,145940,23167,23228,46395,31.790461833630257
sha2-chain-guest,40,290620,46147,46188,92335,31.77172940609731
sha2-chain-guest,80,579980,92107,92108,184215,31.762302148349942
sha2-chain-guest,160,1158711,184027,183949,367976,31.757357960699434
sha2-chain-guest,320,2316151,367867,367629,735496,31.755097141766665
sha2-chain-guest,500,3618271,574687,574269,1148956,31.754282639415344
sha3-chain-guest,5,114376,24047,24573,48620,42.50891795481569
sha3-chain-guest,10,227461,47917,48888,96805,42.558944170649035
sha3-chain-guest,20,453631,95657,97518,193175,42.58417083488562
sha3-chain-guest,40,905971,191137,194778,385915,42.59683808863639
sha3-chain-guest,80,1810651,382097,389298,771395,42.60318526320091
sha3-chain-guest,160,3620022,764017,778339,1542356,42.6062604039423
sha3-chain-guest,320,7238742,1527857,1556419,3084276,42.60790065456125
sha3-chain-guest,500,11309802,2387177,2431759,4818936,42.60849128923743
